experiment,vertices,edges,processes,distributed_time_ms,speedup,efficiency
VERTEX,500,1000,1,702.814,1.000,1.000
VERTEX,1000,1000,1,3069.669,1.000,1.000
VERTEX,2000,1000,1,13191.982,1.000,1.000
VERTEX,3000,1000,1,30673.176,1.000,1.000
EDGE,1000,500,1,3023.355,1.000,1.000
EDGE,1000,1000,1,3001.663,1.000,1.000
EDGE,1000,2000,1,3088.983,1.000,1.000
EDGE,1000,3000,1,4039.646,1.000,1.000
VERTEX,500,1000,2,378.795,1.855,0.928
VERTEX,1000,1000,2,2157.513,1.423,0.711
VERTEX,2000,1000,2,11251.514,1.172,0.586
VERTEX,3000,1000,2,23168.602,1.324,0.662
EDGE,1000,500,2,2413.135,1.253,0.626
EDGE,1000,1000,2,2424.231,1.238,0.619
EDGE,1000,2000,2,2365.399,1.306,0.653
EDGE,1000,3000,2,2357.895,1.713,0.857
VERTEX,500,1000,3,259.482,2.709,0.903
VERTEX,1000,1000,3,1152.808,2.663,0.888
VERTEX,2000,1000,3,4909.127,2.687,0.896
VERTEX,3000,1000,3,11163.237,2.748,0.916
EDGE,1000,500,3,1196.701,2.526,0.842
EDGE,1000,1000,3,1230.364,2.440,0.813
EDGE,1000,2000,3,1243.362,2.484,0.828
EDGE,1000,3000,3,1427.916,2.829,0.943
VERTEX,500,1000,4,255.807,2.747,0.687
VERTEX,1000,1000,4,1336.100,2.297,0.574
VERTEX,2000,1000,4,5111.105,2.581,0.645
VERTEX,3000,1000,4,9915.939,3.093,0.773
EDGE,1000,500,4,1466.187,2.062,0.516
EDGE,1000,1000,4,1270.408,2.363,0.591
EDGE,1000,2000,4,1208.353,2.556,0.639
EDGE,1000,3000,4,1225.803,3.296,0.824
